key,en,pt,es,fr,it
"Maximum contrast, for low vision or bright rooms",,"Contraste máximo, para baixa visão ou salas claras","Contraste máximo, para baja visión o salas luminosas","Contraste maximal, pour basse vision ou pièces lumineuses","Contrasto massimo, per ipovisione o stanze luminose"
Smaller editor text,,Texto do editor mais pequeno,Texto del editor más pequeño,Texte de l'éditeur plus petit,Testo dell'editor più piccolo
Medium editor text,,Texto do editor médio,Texto del editor mediano,Texte de l'éditeur moyen,Testo dell'editor medio
Larger editor text,,Texto do editor maior,Texto del editor más grande,Texte de l'éditeur plus grand,Testo dell'editor più grande
"Number the steps of an explanation hierarchically (1, 1.1, 1.2, …)",,"Numerar os passos de uma explicação hierarquicamente (1, 1.1, 1.2, …)","Numerar los pasos de una explicación jerárquicamente (1, 1.1, 1.2, …)","Numéroter les étapes d'une explication de façon hiérarchique (1, 1.1, 1.2, …)","Numerare i passi di una spiegazione in modo gerarchico (1, 1.1, 1.2, …)"
"The API keys of the LLM providers, and the models the assistant uses (kept in this browser)",,As chaves de API dos fornecedores de LLM e os modelos que o assistente usa (guardados neste navegador),Las claves de API de los proveedores de LLM y los modelos que usa el asistente (guardados en este navegador),Les clés d'API des fournisseurs de LLM et les modèles que l'assistant utilise (conservés dans ce navigateur),Le chiavi API dei fornitori di LLM e i modelli usati dall'assistente (conservati in questo browser)
"How explanations are shown: the prefix of failed steps, per-rule failure detail, repeated explanations, important reasons",,"Como as explicações são mostradas: o prefixo dos passos falhados, o detalhe das falhas por regra, as explicações repetidas, as razões importantes","Cómo se muestran las explicaciones: el prefijo de los pasos fallidos, el detalle de fallos por regla, las explicaciones repetidas, las razones importantes","Comment les explications sont affichées : le préfixe des étapes en échec, le détail des échecs par règle, les explications répétées, les raisons importantes","Come sono mostrate le spiegazioni: il prefisso dei passi falliti, il dettaglio dei fallimenti per regola, le spiegazioni ripetute, le ragioni importanti"
Copy this answer's text to the clipboard,,Copiar o texto desta resposta para a área de transferência,Copiar el texto de esta respuesta al portapapeles,Copier le texte de cette réponse dans le presse-papiers,Copiare il testo di questa risposta negli appunti
This step is explained in full elsewhere in the explanation (repeats are hidden): go there,,Este passo é explicado por inteiro noutro ponto da explicação (as repetições estão escondidas): ir para lá,Este paso se explica completo en otro punto de la explicación (las repeticiones están ocultas): ir allí,Cette étape est expliquée en entier ailleurs dans l'explication (les répétitions sont masquées) : y aller,Questo passo è spiegato per intero altrove nella spiegazione (le ripetizioni sono nascoste): andarci
"Copy the explanation, as indented text, to the clipboard",,"Copiar a explicação, como texto indentado, para a área de transferência","Copiar la explicación, como texto sangrado, al portapapeles","Copier l'explication, en texte indenté, dans le presse-papiers","Copiare la spiegazione, come testo rientrato, negli appunti"
"Copy the explanation as a Mermaid flowchart, to paste into Markdown or a Mermaid editor",,"Copiar a explicação como fluxograma Mermaid, para colar em Markdown ou num editor Mermaid","Copiar la explicación como diagrama de flujo Mermaid, para pegar en Markdown o en un editor Mermaid","Copier l'explication comme organigramme Mermaid, à coller dans du Markdown ou un éditeur Mermaid","Copiare la spiegazione come diagramma di flusso Mermaid, da incollare in Markdown o in un editor Mermaid"
Open the explanation at the reason that weighs most for this answer,,Abrir a explicação na razão que mais pesa nesta resposta,Abrir la explicación en la razón que más pesa en esta respuesta,Ouvrir l'explication à la raison qui pèse le plus pour cette réponse,Aprire la spiegazione alla ragione che pesa di più per questa risposta
"Walk through the explanation one reason at a time, strongest first: answer Yes or Not yet, and it goes deeper only where needed (a separate window)",,"Percorrer a explicação uma razão de cada vez, a mais forte primeiro: responda Sim ou Ainda não, e só aprofunda onde é preciso (numa janela à parte)","Recorrer la explicación una razón a la vez, la más fuerte primero: responda Sí o Todavía no, y solo profundiza donde hace falta (en una ventana aparte)","Parcourir l'explication une raison à la fois, la plus forte d'abord : répondez Oui ou Pas encore, et elle ne va plus loin que là où il le faut (dans une fenêtre à part)","Percorrere la spiegazione una ragione alla volta, la più forte per prima: rispondete Sì o Non ancora, e scende più a fondo solo dove serve (in una finestra a parte)"
This server has no translator from another system.,,Este servidor não tem tradutor de outro sistema.,Este servidor no tiene traductor de otro sistema.,Ce serveur n'a pas de traducteur depuis un autre système.,Questo server non ha traduttori da un altro sistema.
No original is kept for this program: it was not converted from another system's files (there is no sources folder beside it).,,Não há original guardado para este programa: não foi convertido a partir de ficheiros de outro sistema (não há pasta sources ao lado dele).,No se guarda ningún original para este programa: no se convirtió a partir de archivos de otro sistema (no hay carpeta sources junto a él).,Aucun original n'est conservé pour ce programme : il n'a pas été converti depuis les fichiers d'un autre système (il n'y a pas de dossier sources à côté).,Nessun originale è conservato per questo programma: non è stato convertito dai file di un altro sistema (non c'è una cartella sources accanto).
The original files this program was converted from,,Os ficheiros originais de onde este programa foi convertido,Los archivos originales de los que se convirtió este programa,Les fichiers originaux d'où ce programme a été converti,I file originali da cui questo programma è stato convertito
Open it in the source viewer,,Abri-lo no visualizador de fontes,Abrirlo en el visor de fuentes,L'ouvrir dans la visionneuse de sources,Aprirlo nel visualizzatore delle fonti
The legal view is drawn from an LPS program: this document does not declare the target language lps (or does not load).,,A vista jurídica é tirada de um programa LPS: este documento não declara a linguagem alvo lps (ou não carrega).,La vista jurídica se obtiene de un programa LPS: este documento no declara el lenguaje objetivo lps (o no se carga).,La vue juridique se tire d'un programme LPS : ce document ne déclare pas le langage cible lps (ou ne se charge pas).,La vista giuridica si ricava da un programma LPS: questo documento non dichiara il linguaggio obiettivo lps (o non si carica).
Export to Another System…,,Exportar para outro sistema…,Exportar a otro sistema…,Exporter vers un autre système…,Esporta verso un altro sistema…
"Write this program in another system's format — deterministically, no LLM — with an exporter the server has for it (for instance a Bitcoin spending policy as a Miniscript policy): the result is shown to copy or save, with links to a public sandbox where there is one",,"Escrever este programa no formato de outro sistema — de forma determinística, sem LLM — com um exportador que o servidor tenha para ele (por exemplo uma política de gasto Bitcoin como política Miniscript): o resultado é mostrado para copiar ou guardar, com ligações para uma sandbox pública quando existe","Escribir este programa en el formato de otro sistema — de forma determinista, sin LLM — con un exportador que el servidor tenga para él (por ejemplo una política de gasto de Bitcoin como política Miniscript): el resultado se muestra para copiar o guardar, con enlaces a un sandbox público cuando lo hay","Écrire ce programme dans le format d'un autre système — de façon déterministe, sans LLM — avec un exportateur que le serveur possède pour lui (par exemple une politique de dépense Bitcoin en politique Miniscript) : le résultat s'affiche pour être copié ou enregistré, avec des liens vers un bac à sable public s'il en existe un","Scrivere questo programma nel formato di un altro sistema — in modo deterministico, senza LLM — con un esportatore che il server ha per esso (per esempio una politica di spesa Bitcoin come politica Miniscript): il risultato è mostrato per essere copiato o salvato, con collegamenti a una sandbox pubblica quando esiste"
Exported as,,Exportado como,Exportado como,Exporté en,Esportato come
Copy the exported text to the clipboard,,Copiar o texto exportado para a área de transferência,Copiar el texto exportado al portapapeles,Copier le texte exporté dans le presse-papiers,Copiare il testo esportato negli appunti
Save…,,Guardar…,Guardar…,Enregistrer…,Salva…
Save the exported text as a file,,Guardar o texto exportado num ficheiro,Guardar el texto exportado como archivo,Enregistrer le texte exporté dans un fichier,Salvare il testo esportato in un file
Open in a new tab,,Abrir num novo separador,Abrir en una pestaña nueva,Ouvrir dans un nouvel onglet,Apri in una nuova scheda
Could not export,,Não foi possível exportar,No se pudo exportar,Impossible d'exporter,Impossibile esportare
No exporter on this server can write this program in another system's format.,,Nenhum exportador deste servidor consegue escrever este programa no formato de outro sistema.,Ningún exportador de este servidor puede escribir este programa en el formato de otro sistema.,Aucun exportateur de ce serveur ne sait écrire ce programme dans le format d'un autre système.,Nessun esportatore di questo server sa scrivere questo programma nel formato di un altro sistema.
Export this program as,,Exportar este programa como,Exportar este programa como,Exporter ce programme en,Esporta questo programma come
Not translated to,,Não traduzido para,No traducido a,Non traduit en,Non tradotto in
Go to this line,,Ir para esta linha,Ir a esta línea,Aller à cette ligne,Vai a questa riga
Feedback,,Comentários,Comentarios,Commentaires,Feedback
Report a problem or send feedback,,Comunicar um problema ou enviar comentários,Informar de un problema o enviar comentarios,Signaler un problème ou envoyer un commentaire,Segnala un problema o invia un commento
Description,,Descrição,Descripción,Description,Descrizione
What happened? What did you expect?,,O que aconteceu? O que esperava?,¿Qué ocurrió? ¿Qué esperaba?,Que s'est-il passé ? Qu'attendiez-vous ?,Che cosa è successo? Che cosa si aspettava?
Email,,Email,Correo electrónico,E-mail,Email
Thank you for your feedback!,,Obrigado pelos seus comentários!,¡Gracias por sus comentarios!,Merci pour votre commentaire !,Grazie per il suo commento!
(required),,(obrigatório),(obligatorio),(obligatoire),(obbligatorio)
reference,,referência,referencia,référence,riferimento
warnings guide,,guia dos avisos,guía de los avisos,guide des avertissements,guida agli avvisi
"Help: running queries, scenarios and the engines",,"Ajuda: executar consultas, cenários e os motores","Ayuda: ejecutar consultas, escenarios y los motores","Aide : exécuter des requêtes, scénarios et moteurs","Aiuto: eseguire query, scenari e motori"
Step over,,Saltar por cima,Saltar por encima,Pas à pas principal,Salta
"Step over (F10) — advance to the next goal at this level or above, without stopping inside the goals the current one calls.",,"Saltar por cima (F10) — avança até ao próximo objetivo a este nível ou acima, sem parar dentro dos objetivos que o atual chama.","Saltar por encima (F10) — avanza hasta el siguiente objetivo en este nivel o superior, sin detenerse dentro de los objetivos que llama el actual.","Pas à pas principal (F10) — avance jusqu'au prochain objectif à ce niveau ou au-dessus, sans s'arrêter dans les objectifs que l'actuel appelle.","Salta (F10) — avanza fino al prossimo obiettivo a questo livello o superiore, senza fermarsi dentro gli obiettivi chiamati da quello attuale."
Breakpoint,,Ponto de paragem,Punto de interrupción,Point d'arrêt,Punto di interruzione
"The query did not finish within {n} seconds and was stopped: a rule may loop, or the search may be too large.",,"A consulta não terminou em {n} segundos e foi parada: uma regra pode estar em ciclo, ou a pesquisa ser grande demais.","La consulta no terminó en {n} segundos y se detuvo: una regla puede estar en bucle, o la búsqueda ser demasiado grande.","La requête ne s'est pas terminée en {n} secondes et a été arrêtée : une règle boucle peut-être, ou la recherche est trop vaste.","L'interrogazione non è terminata entro {n} secondi ed è stata fermata: una regola potrebbe essere in ciclo, o la ricerca troppo ampia."
Search the documentation,,Pesquisar a documentação,Buscar en la documentación,Rechercher dans la documentation,Cerca nella documentazione
Search,,Pesquisar,Buscar,Rechercher,Cerca
Search the documentation…,,Pesquisar a documentação…,Buscar en la documentación…,Rechercher dans la documentation…,Cerca nella documentazione…
"Search the text of every document of this documentation (words that must all occur, or a phrase in quotes); right-click in the program for the documentation about what is under the cursor",,"Pesquisar o texto de todos os documentos desta documentação (palavras que têm de ocorrer todas, ou uma frase entre aspas); clique com o botão direito no programa para a documentação sobre o que está sob o cursor","Buscar en el texto de todos los documentos de esta documentación (palabras que deben aparecer todas, o una frase entre comillas); clic derecho en el programa para la documentación sobre lo que está bajo el cursor","Rechercher dans le texte de tous les documents de cette documentation (des mots qui doivent tous figurer, ou une phrase entre guillemets) ; clic droit dans le programme pour la documentation sur ce qui est sous le curseur","Cerca nel testo di tutti i documenti di questa documentazione (parole che devono comparire tutte, o una frase tra virgolette); clic destro nel programma per la documentazione su ciò che è sotto il cursore"
Documentation for this,,Documentação sobre isto,Documentación sobre esto,Documentation sur ceci,Documentazione su questo
Documentation for “{w}”,,Documentação sobre “{w}”,Documentación sobre “{w}”,Documentation sur « {w} »,Documentazione su “{w}”
"Documentation for “{w}”, a keyword",,"Documentação sobre “{w}”, uma palavra-chave","Documentación sobre “{w}”, una palabra clave","Documentation sur « {w} », un mot-clé","Documentazione su “{w}”, una parola chiave"
"Documentation for “{w}”, {what}",,"Documentação sobre “{w}”, {what}","Documentación sobre “{w}”, {what}","Documentation sur « {w} », {what}","Documentazione su “{w}”, {what}"
a TODO comment,,um comentário TODO,un comentario TODO,un commentaire TODO,un commento TODO
a comment,,um comentário,un comentario,un commentaire,un commento
a string,,uma cadeia de caracteres,una cadena de caracteres,une chaîne de caractères,una stringa
a date,,uma data,una fecha,une date,una data
a number,,um número,un número,un nombre,un numero
a variable,,uma variável,una variable,une variable,una variabile
a word of a template,,uma palavra de um modelo,una palabra de una plantilla,un mot d'un modèle,una parola di un modello
an operator,,um operador,un operador,un opérateur,un operatore
Other systems: importing and exporting,,Outros sistemas: importar e exportar,Otros sistemas: importar y exportar,Autres systèmes : importer et exporter,Altri sistemi: importare ed esportare
"The map of every system Logical English translates from or to, how opening another system's file, Show the Original and exporting work, and the refusals.",,"O mapa de todos os sistemas de e para os quais o Logical English traduz, como funcionam abrir o ficheiro de outro sistema, Mostrar o Original e exportar, e as recusas.","El mapa de todos los sistemas desde y hacia los que traduce Logical English, cómo funcionan abrir el archivo de otro sistema, Mostrar el original y exportar, y los rechazos.","La carte de tous les systèmes depuis et vers lesquels Logical English traduit, le fonctionnement de l'ouverture du fichier d'un autre système, de Montrer l'original et de l'export, et les refus.","La mappa di tutti i sistemi da e verso cui Logical English traduce, come funzionano l'apertura del file di un altro sistema, Mostra l'originale e l'esportazione, e i rifiuti."
Other systems: import and export,,Outros sistemas: importar e exportar,Otros sistemas: importar y exportar,Autres systèmes : import et export,Altri sistemi: importazione ed esportazione
"The map of the integrations with other rule and contract systems, and a document for each.",,"O mapa das integrações com outros sistemas de regras e de contratos, e um documento para cada um.","El mapa de las integraciones con otros sistemas de reglas y de contratos, y un documento para cada uno.","La carte des intégrations avec d'autres systèmes de règles et de contrats, et un document pour chacun.","La mappa delle integrazioni con altri sistemi di regole e di contratti, e un documento per ciascuno."
"Start here: a hands-on tutorial that builds small programs — a tea party, a flying dragon, a slice of British nationality law, a tea shop — teaching how to write, query, test and debug LE in the editor, then citations, views and a second engine.",,"Comece aqui: um tutorial prático que constrói pequenos programas — um chá, um dragão que voa, um pedaço da lei da nacionalidade britânica, uma casa de chá — e ensina a escrever, consultar, testar e depurar LE no editor, e depois citações, vistas e um segundo motor.","Empiece aquí: un tutorial práctico que construye pequeños programas — una merienda, un dragón que vuela, un fragmento de la ley de nacionalidad británica, una tetería — y enseña a escribir, consultar, probar y depurar LE en el editor, y luego citas, vistas y un segundo motor.","Commencez ici : un tutoriel pratique qui construit de petits programmes — un goûter, un dragon qui vole, un morceau du droit britannique de la nationalité, un salon de thé — pour apprendre à écrire, interroger, tester et déboguer LE dans l'éditeur, puis les citations, les vues et un second moteur.","Inizia qui: un tutorial pratico che costruisce piccoli programmi — un tè, un drago che vola, un pezzo della legge britannica sulla cittadinanza, una sala da tè — e insegna a scrivere, interrogare, testare ed eseguire il debug di LE nell'editor, poi citazioni, viste e un secondo motore."
"A hands-on tutorial: write, query, test and debug small LE programs.",,"Um tutorial prático: escrever, consultar, testar e depurar pequenos programas LE.","Un tutorial práctico: escribir, consultar, probar y depurar pequeños programas LE.","Un tutoriel pratique : écrire, interroger, tester et déboguer de petits programmes LE.","Un tutorial pratico: scrivere, interrogare, testare ed eseguire il debug di piccoli programmi LE."
MENU LANGUAGE,,IDIOMA DOS MENUS,IDIOMA DE LOS MENÚS,LANGUE DES MENUS,LINGUA DEI MENU
"The language of the menus, buttons and messages. The language of a program is set by the program's own first sentence, not here.",,"O idioma dos menus, botões e mensagens. O idioma de um programa é definido pela primeira frase do próprio programa, não aqui.","El idioma de los menús, botones y mensajes. El idioma de un programa lo fija la primera oración del propio programa, no aquí.","La langue des menus, des boutons et des messages. La langue d'un programme est fixée par la première phrase du programme lui-même, pas ici.","La lingua dei menu, dei pulsanti e dei messaggi. La lingua di un programma è stabilita dalla prima frase del programma stesso, non qui."
"Show the menus, buttons and messages in this language (the page reloads)",,"Mostrar os menus, botões e mensagens neste idioma (a página é recarregada)","Mostrar los menús, botones y mensajes en este idioma (la página se recarga)","Afficher les menus, les boutons et les messages dans cette langue (la page se recharge)","Mostra i menu, i pulsanti e i messaggi in questa lingua (la pagina si ricarica)"
Copy the web address of this folder,,Copiar o endereço web desta pasta,Copiar la dirección web de esta carpeta,Copier l'adresse web de ce dossier,Copia l'indirizzo web di questa cartella
(guide),,(guia),(guía),(guide),(guida)
Logical English in other languages,,Logical English noutras línguas,Logical English en otros idiomas,Logical English dans d'autres langues,Logical English in altre lingue
"Writing programs in Portuguese, Spanish, French or Italian, and choosing the language of the menus.",,"Escrever programas em português, espanhol, francês ou italiano, e escolher o idioma dos menus.","Escribir programas en portugués, español, francés o italiano, y elegir el idioma de los menús.","Écrire des programmes en portugais, espagnol, français ou italien, et choisir la langue des menus.","Scrivere programmi in portoghese, spagnolo, francese o italiano, e scegliere la lingua dei menu."
About this folder,,Sobre esta pasta,Acerca de esta carpeta,À propos de ce dossier,Informazioni su questa cartella
Copy the web address of this README,,Copiar o endereço web deste README,Copiar la dirección web de este README,Copier l'adresse web de ce README,Copia l'indirizzo web di questo README
